M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   |   after  NldfgBuild : Create graph M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   before NldfgBuild : Create terminal sinks and sources M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   after  NldfgBuild : Create terminal sinks and sources M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   before NldfgBuild : Compute dependencies M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   after  NldfgBuild : Compute dependencies M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   before NldfgBuild : Compute combinational SCCs M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   after  NldfgBuild : Compute combinational SCCs M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   before NldfgBuild : Compute templates M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   after  NldfgBuild : Compute templates M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   before NldfgBuild : Eliminate combinational SCCs M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   after  NldfgBuild : Eliminate combinational SCCs M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   before NldfgBuild : Computing sequential SCCs M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   after  NldfgBuild : Computing sequential SCCs M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   before NldfgBuild : Create simulator clocks, changeAts and Triggers M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   after  NldfgBuild : Create simulator clocks, changeAts and Triggers M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   before NldfgBuild : SymSimulator Analysis and computation M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   after  NldfgBuild : SymSimulator Analysis and computation M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0.01s W=(2026-04-29 14:20:30)
STATS:: |   |   |   after  NldfgBuild : Create dfg M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0.02s W=(2026-04-29 14:20:30)
STATS:: |   |   |   before StaticCheck: StaticCheckProcess : M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   before StaticCheck: NldfgFlatDesign : M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   after  StaticCheck: NldfgFlatDesign : M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   before StaticCheck: CombLoopCheck  : M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   after  StaticCheck: CombLoopCheck  : M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   before StaticCheck: MultiDriverCheck  : M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   |   after  StaticCheck: MultiDriverCheck  : M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   after  StaticCheck: StaticCheckProcess : M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   before DfgBuild: DfgRemodel : M=1719.05mb, Malloc-M=492mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   |   after  DfgBuild: DfgRemodel : M=1719.05mb, Malloc-M=491mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   |   after  Check: FormalModel : M=1719.05mb, Malloc-M=482mb, Available-M=115177mb, T=0s CPU=0.03s W=(2026-04-29 14:20:30)
STATS:: |   after  Check: BuildFormal : M=1719.05mb, Malloc-M=482mb, Available-M=115177mb, T=0s CPU=0.05s W=(2026-04-29 14:20:30)
STATS:: |   before Check: GCDB : M=1719.05mb, Malloc-M=482mb, Available-M=115177mb, T=0s CPU=0s W=(2026-04-29 14:20:30)
STATS:: |   after  Check: GCDB : M=1719.05mb, Malloc-M=482mb, Available-M=115177mb, T=0s CPU=0.01s W=(2026-04-29 14:20:30)
